Questions,Answer 1,Answer 2,Answer 3,,,,,
When should I start preparing for GRE?,If you plan to go aboard just after your BE preferable start preparing from your third year,Ideally speaking it will take you 6 months of preparation if you have proper dedication and focus,,,,,,
"I am not connected to the software stream, but I want to learn coding, where should I start?","To learn about programming from scratch, I feel its necessary to have at least basic knowledge about what is computer, what is Turing machine, what is binary language etc and then you can start working on languages like Python or C, C++ etc",,,,,,,
"What type of tests should I take to study abroad?
","There are two types of tests that you have to appear for, when looking to study abroad - language tests and standardised tests. Some universities might ask for IELTS scores whereas others might ask for both IELTS and TOEFL scores.",,,,,,,
What is GRE? And how important is it?,The Graduate Record Examinations is a standardized test that is an admissions requirement for many graduate schools in the United States and Canada and few in other countries.,"GRE is basic eligibility for admissions at some universities, while at some others, GRE is not a mandate.",,,,,,
"What should I do, try to learn everything that is thrown at me or specialize in one ?",College life can be difficult with lots of subjects being thrown at you all at once. You can choose to be a jack of all trades and master of none or specialize in one and build your career on it. I personally think that specializing one should be the key aim and after that learn others that are related to it.,,,,,,,
Is it worthwhile if I get into extracurricular activities like hackathons and coding competitions?,"It is always good to get exposure from these kind of events and they will teach you on the spot of the things you lack or need to acquire, but getting into too many can make you go adrift academically. Balance is key.",,,,,,,
Can you suggest some faculty members best to get my LOR done?,LOR is a very important document so its prefered to get it done from faculty members who have good experience ,"Prefer to get a faculty member who was your project guide,hod,etc",,,,,,
What’s the importance of SOP ?,A statement of purpose (SOP) reflects your purpose of getting a degree abroad and your chance to explain why you want to study in a foreign country. The admissions team will evaluate you based on how you showcase yourself in your writing.,"An SOP is carefully studied by most university admission teams since it serves as a gateway to knowing your personality. Hence, it’s quite important you write your SOP in the best way possible",,,,,,
What’s the importance of LOR?,"LOR is highly important when applying to study abroad because certain universities need someone else to validate your academic merits and professional skills, which helps them in two ways: identify genuine students with a strong passion towards academics or research and select well-deserved candidates.",,,,,,,
What documents do I need to study abroad?,"Application Form,Statement of Purpose (SOP),Transcripts, Test scores,LOR, CV or resume",,,,,,,
Are getting into committees worthwhile endeavors?,"To be frank it depends on the group of people you work with, you might get interesting people to meet which otherwise you wouldn't be able to due to distinct courses. But sometimes they can be unneeded too as people tend to invest too much in the committee work and miss out on their academic dead lines.","No, I honestly found committees a waste of time, the people who were there at that time were so unserious, they'd treat the committee time as some sort of timepass.","Yes, getting into committees could do you wonders. Sometimes that is where you find out your hidden capabilities and true friends!",,,,,
what are the best coaching classes for MBA in Borivali?,"You have T.IM.E, Endeavour which are some classes for MBA in Borivali.","You have classes like TIME, Endeavour, CAT king.I would personally recommend TIME as the content they give is really good and CatKing is still at a starting stage so I am not quite sure about it",They are many classes but I would prefer Endeavour more.,,,,,
How to manage Project deadlines along with academics?,"Mini projects are part and parcel of Engineering, to stay ahead in this race against time its always beneficial to start work as early as you can. Choose the topic, do a study about it and check for it feasibility. Then you can manage a couple of days from the week to it and in no time you'll be done.",,,,,,,
Could you suggest some companies which offer projects based on ML,Soliton Technolgies has a division working on Computer Vision/Machine Vision/Machine Learning.,"ValueCoders, ArStudiouz,PixelCrayons",,,,,,
"Hello, I am from FE and is Workshop necessary?",Workshop may seem unnecessary while doing it but you never know where you might need those skills.,"Yeah, its completely unnecessary if you're aiming to be a software developer, never have had to pick up wood pieces and do manual labor ever-since then",,,,,,
Which company is better Capgemini or Accenture,"Every comapny has its own prons and cons, depends on what kind of job are you looking for.",You can check about it on this website: https://www.glassdoor.co.in/Compare/Capgemini-vs-Accenture-EI_IE3803-E4138.htm,,,,,,
I am interested in Block chain and stock exchange. What extra should I do to get a firm grasp over it?,"First off start with Blockchain courses, learn ML and AI as they are all interconnected and will give you a greater overview and hold over the topic and thoroughly do analysis of the Market if you plan on going forwards in the fintech direction",,,,,,,
Is Northeastern University a good college?,"Yes, they have a great CoOp program and nice faculty and reputation.","Yes, very affordable and reputed college in the US.",,,,,,
I am in Second Year. Should I make a linkedIn profile now?,"Yes, start working on your linkedIn profile as a early as possible and keep updating it and learning about its features as it is really useful.",LinkedIn will get you jobs and internships as well so it is important to start and get used to it as early as possible.,,,,,,
Should I work for startups or mass recruiters as a beginner.,"Depends on what youre looking for. If you want work life balance go for mass recruiters, whereas if you want to learn skills and management, work for a startup",Startups are much more beneficial for beginners.,,,,,,
Is the starting salary good at Capgemini?,It is 3.2lpa which is the base salary for most companies.,"Not really, look for better companies.",,,,,,
Should I join a committee in college.,Comittees give you management and organisation skills which will help you in the long run in any company too.,"yes, look at committees like ecell or IEEE",,,,,,
Are there well paying jobs in the blockchain industry?,"Yes, there are multiple companies with a very high salary package for blockchain developers.","Work in companies that specialize in blockchain like KubixSquare, etc",,,,,,
How to begin competitive coding?,Check websites like codechef.,"Look at sites like hackerrank, codechef, etc for practice.",,,,,,
Where can I learn JAVA?,"subscribe to beginner courses on Coursera, Udemy, and youtube.",W3schools has good courses to clear your conncepts,Start working on a project and clear your concepts along the way,,,,,
Does pointer matter while applying for jobs?,Yes many companies have a pointer criteria before you can apply for their tests,There are a few companies that dont consider pointers and are good to work for but require you to be very knowledgeable,,,,,,
Which are important subjects to focus on in Computer Engineering?,Study subjects like Database Management and Operating Systems well as they are asked in multiple company tests.,"Focus on Python, Database Management Systems and Computer Networks well.",,,,,,
"Should I apply to mass recruiter companies like TCS,LTI?","Yes, apply and keep and then look for better jobs along with it.",It is good to keep such companies as a backup incase better companies don't show up.,,,,,,
What are the roles in Ecell,"Ecell is a dynamic committee, so basically you get experience in marketing,publicity, organzing events etc.","There is only a E-leader position for the first year of joining, and in the second year you will have heads posts in different fields such as publicity,marketing,photography,etc",,,,,,
Is GRE important for foriegn universities?,Yes it is important,"Not necessary, it depends on the univerisity and course you are planning to apply.","It depends on you the course, university and country you are applying. Sometimes they just ask for TOEFL, ILETS marks",,,,,
Are getting into committees worthwhile,It depends on what kind of committiee you wish to join and your team members.,It is good to join a committee as it is if you plan to study aboard they will be an add on for extra curricular activites.,,,,,,
Can someone tell me the training experience in Accenture?,"Training in Accenture includes 45 days on initial online training which will include basics of sql,java,xml,etc. It is also domain specific.",It is good as you get to understand at which level of training you are in and also it is domain related.,,,,,,
